,date,return_rate
0,2020-08-01,1.0
1,2020-08-02,1.0
2,2020-08-03,1.0
3,2020-08-04,1.0061531596471858
4,2020-08-05,1.0201436796911376
5,2020-08-06,1.0270990559524846
6,2020-08-07,1.0288429541582866
7,2020-08-08,1.0288429541582866
8,2020-08-09,1.0288429541582866
9,2020-08-10,1.0422675569669384
10,2020-08-11,1.0383473751760983
11,2020-08-12,1.0492206625274967
12,2020-08-13,1.0462159393966075
13,2020-08-14,1.0475022547692592
14,2020-08-15,1.0475022547692592
15,2020-08-16,1.0475022547692592
16,2020-08-17,1.0442728787571034
17,2020-08-18,1.041766171583088
18,2020-08-19,1.0385712955732396
19,2020-08-20,1.0403283052448868
20,2020-08-21,1.0474763980796318
21,2020-08-22,1.0474763980796318
22,2020-08-23,1.0474763980796318
23,2020-08-24,1.0616575104930184
24,2020-08-25,1.0594065135271875
25,2020-08-26,1.0625372971760616
26,2020-08-27,1.0685509185973547
27,2020-08-28,1.074611419002675
28,2020-08-29,1.074611419002675
29,2020-08-30,1.074611419002675
30,2020-08-31,1.066217517167414
31,2020-09-01,1.0743035559247605
32,2020-09-02,1.0913614997407377
33,2020-09-03,1.0610675677784047
34,2020-09-04,1.0550888126014815
35,2020-09-05,1.0550888126014815
36,2020-09-06,1.0550888126014815
37,2020-09-07,1.0550888126014815
38,2020-09-08,1.031371049868765
39,2020-09-09,1.0478567038375508
40,2020-09-10,1.0326345117367035
41,2020-09-11,1.0375496999635154
42,2020-09-12,1.0375496999635154
43,2020-09-13,1.0375496999635154
44,2020-09-14,1.0498390988745898
45,2020-09-15,1.0499242135299638
46,2020-09-16,1.0513036276349563
47,2020-09-17,1.0464131973715836
48,2020-09-18,1.0372413973951256
49,2020-09-19,1.0372413973951256
50,2020-09-20,1.0372413973951256
51,2020-09-21,1.018125246435128
52,2020-09-22,1.0233937117556304
53,2020-09-23,1.0037027072540028
54,2020-09-24,1.005664446238705
55,2020-09-25,1.019110144590169
56,2020-09-26,1.019110144590169
57,2020-09-27,1.019110144590169
58,2020-09-28,1.0344901870200445
59,2020-09-29,1.0295622535694502
60,2020-09-30,1.0419022671335911
61,2020-10-01,1.0432224232728373
62,2020-10-02,1.0381936267581726
63,2020-10-03,1.0381936267581726
64,2020-10-04,1.0381936267581726
65,2020-10-05,1.055663739391524
66,2020-10-06,1.041567009149386
67,2020-10-07,1.0614699945569106
68,2020-10-08,1.0660472146082534
69,2020-10-09,1.0720998774334314
70,2020-10-10,1.0720998774334314
71,2020-10-11,1.0720998774334314
72,2020-10-12,1.081498893985595
73,2020-10-13,1.0755843044180586
74,2020-10-14,1.069365880435298
75,2020-10-15,1.0686232880289461
76,2020-10-16,1.0728278201572745
77,2020-10-17,1.0728278201572745
78,2020-10-18,1.0728278201572745
79,2020-10-19,1.0574181121203194
80,2020-10-20,1.061669816226325
81,2020-10-21,1.0579956758532136
82,2020-10-22,1.0637276571282823
83,2020-10-23,1.062674198459102
84,2020-10-24,1.062674198459102
85,2020-10-25,1.062674198459102
86,2020-10-26,1.0382900216690774
87,2020-10-27,1.029957135761464
88,2020-10-28,0.9945826206567991
89,2020-10-29,0.9998015700504232
90,2020-10-30,0.9938944518209663
91,2020-10-31,0.9938944518209663
92,2020-11-01,0.9938944518209663
93,2020-11-02,1.0097752203989796
94,2020-11-03,1.0305886835744023
95,2020-11-04,1.0443760125219623
96,2020-11-05,1.064722224073779
97,2020-11-06,1.0622177876005523
98,2020-11-07,1.0622177876005523
99,2020-11-08,1.0622177876005523
100,2020-11-09,1.0935168342797879
101,2020-11-10,1.1033782680603297
102,2020-11-11,1.1025048539891777
103,2020-11-12,1.0905990570145863
104,2020-11-13,1.105586854195299
105,2020-11-14,1.105586854195299
106,2020-11-15,1.105586854195299
107,2020-11-16,1.1232369381782663
108,2020-11-17,1.1169705364852904
109,2020-11-18,1.104034573836707
110,2020-11-19,1.10571511216566
111,2020-11-20,1.0974737867737243
112,2020-11-21,1.0974737867737243
113,2020-11-22,1.0974737867737243
114,2020-11-23,1.1097669213538386
115,2020-11-24,1.1268297728134562
116,2020-11-25,1.1203128615495863
117,2020-11-26,1.1203128615495863
118,2020-11-27,1.1217341737465532
119,2020-11-28,1.1217341737465532
120,2020-11-29,1.1217341737465532
121,2020-11-30,1.1115434883516349
122,2020-12-01,1.1184920525106152
123,2020-12-02,1.120737336100268
124,2020-12-03,1.1239525019203904
125,2020-12-04,1.1332810534996884
126,2020-12-05,1.1332810534996884
127,2020-12-06,1.1332810534996884
128,2020-12-07,1.1277129289234762
129,2020-12-08,1.131616703069907
130,2020-12-09,1.1276762314687925
131,2020-12-10,1.1250678554981686
132,2020-12-11,1.1268346072086837
133,2020-12-12,1.1268346072086837
134,2020-12-13,1.1268346072086837
135,2020-12-14,1.1199033296750631
136,2020-12-15,1.1325703974012045
137,2020-12-16,1.130891324040502
138,2020-12-17,1.136472926324622
139,2020-12-18,1.1318105916179053
140,2020-12-19,1.1318105916179053
141,2020-12-20,1.1318105916179053
142,2020-12-21,1.1332131522212614
143,2020-12-22,1.1256772822905186
144,2020-12-23,1.1299646583734322
145,2020-12-24,1.1325913464471915
146,2020-12-25,1.1325913464471915
147,2020-12-26,1.1325913464471915
148,2020-12-27,1.1325913464471915
149,2020-12-28,1.1402458055578402
150,2020-12-29,1.1376843085712434
151,2020-12-30,1.1404554425145357
152,2020-12-31,1.147840567212267
153,2021-01-01,1.147840567212267
154,2021-01-02,1.147840567212267
155,2021-01-03,1.147840567212267
156,2021-01-04,1.1334922286730469
