,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,999811.2817009661
2,2020-08-03,999622.815030106
3,2020-08-04,1002051.870058659
4,2020-08-05,1014539.9749143453
5,2020-08-06,1019106.2953461424
6,2020-08-07,1022844.8527219511
7,2020-08-08,1037745.4481459471
8,2020-08-09,1037720.6431902243
9,2020-08-10,1037701.135404988
10,2020-08-11,1037227.3436245924
11,2020-08-12,1047208.928452973
12,2020-08-13,1045214.8731968695
13,2020-08-14,1047420.8006455847
14,2020-08-15,1044177.2232390257
15,2020-08-16,1044173.2554890028
16,2020-08-17,1044169.3247791143
17,2020-08-18,1039482.9443055502
18,2020-08-19,1036554.9048153769
19,2020-08-20,1032868.6459303977
20,2020-08-21,1036056.7846020056
21,2020-08-22,1050329.1719979711
22,2020-08-23,1050323.7597554557
23,2020-08-24,1050318.1478063208
24,2020-08-25,1053449.477862248
25,2020-08-26,1057230.0497116933
26,2020-08-27,1056172.8352361647
27,2020-08-28,1056940.0338451546
28,2020-08-29,1053869.918363877
29,2020-08-30,1053663.091388249
30,2020-08-31,1053444.7114252325
31,2020-09-01,1061848.7697331281
32,2020-09-02,1081397.8633336835
33,2020-09-03,1051968.3137874152
34,2020-09-04,1049290.1367369315
35,2020-09-05,1029609.7347158514
36,2020-09-06,1029591.3048178335
37,2020-09-07,1029575.7153186613
38,2020-09-08,1029571.7450382925
39,2020-09-09,1043941.335753388
40,2020-09-10,1028838.7112575575
41,2020-09-11,1037528.2138869368
42,2020-09-12,1050515.5425064284
43,2020-09-13,1050514.5881023223
44,2020-09-14,1050513.633698216
45,2020-09-15,1048105.4062596784
46,2020-09-16,1052990.9801635863
47,2020-09-17,1049364.3530642248
48,2020-09-18,1038459.0984018369
49,2020-09-19,1014395.6863081976
50,2020-09-20,1014392.0999137121
51,2020-09-21,1014388.8561282965
52,2020-09-22,1018581.9128317038
53,2020-09-23,1001491.7294777418
54,2020-09-24,1002449.8063962561
55,2020-09-25,1016301.7594025389
56,2020-09-26,1032471.5287495885
57,2020-09-27,1032471.1886456152
58,2020-09-28,1032470.881358441
59,2020-09-29,1027841.0976613546
60,2020-09-30,1040266.6423344923
61,2020-10-01,1038065.7219484106
62,2020-10-02,1036046.807108315
63,2020-10-03,1053777.5385793387
64,2020-10-04,1053775.7106141364
65,2020-10-05,1053773.882648934
66,2020-10-06,1036647.8214531408
67,2020-10-07,1057011.4729477544
